"turn_id","transcript_id","utterance_id","turn_index","mi_quality","context_prev_assistant","patient_turn","engine_label","delivery_label","flag_ambiguous","notes"
"6440db9f0dfc","6","3","1","high","I saw that your doctor made the referral and, um, and I really appreciate you taking the time to come and make that appointment.","Yeah, it's-it's a bit of an inconvenience I'd say, but I'm here though.","","","",""
"34bb02697fcf","6","7","2","high","- and do you have a sense of-of what some of the doctor's concerns were that led her to refer you?","I don't know, something about changing my life even more. You know, the smoking's been changed, and now it's, you know, cut down the drinking, get rid of those extra smokes, get rid of my dog. I don't know what else have to do.","","","",""
"32f826ecfaf9","6","9","3","high","So your asthma has been acting up and there's a lot of stuff, not just the asthma going on?","Yeah, there's a lot of stress too. My wife's still on maternity leave, she's not getting paid, she's with the baby right now. And I'm the only person that's working right now, and plus I got to change all these things that are going on in my life.","","","",""
"c7268d0aa6d4","6","11","4","high","Mm-hmm. Almost—","Yeah, it's a lot.","","","",""
"b71b9fe15858","6","13","5","high","Almost overwhelming it sounds like.","Yeah, yeah, it is overwhelming. It is.","","","",""
"65dbc80b27dc","6","15","6","high","Well, we have about, I guess, 15 or 20 minutes together and I wonder, would it be okay, if we took a couple of minutes and just kind of looked at all of the different things that are going on for you and maybe you can let me know, what would be the most helpful to spend-spend some time on?","Yeah, it just feels like everything's all over the place but I guess we got to start somewhere.","","","",""
"c7c72a801301","6","21","7","high","It really-- You're in the driver's seat, so it's just to kind of put all the cards on the table, so to speak.","Okay. Um, okay, that sounds good. As long as I'm not changing anything and we're just kind of putting, um, I guess, pen to paper or something.","","","",""
"b10502eb6bc3","6","23","8","high","Yep.","Um, okay, so my asthma.","","","",""
"e82518e5e37a","6","27","9","high","What else?","Um, the fact that they want me to get rid of Oscar, that's-that's my dog.","","","",""
"3c88ff9077b9","6","29","10","high","So your dog, and-and the doctor's saying the dog's—","Well, he's-- Yeah, he's saying it's a main-- It's a main contributor to my asthma problems.","","","",""
"482ddb1f94c3","6","31","11","high","Okay.","Which I don't- I don't- I don't- I don't buy it and I can't just get rid of him like that, but it's something that's there.","","","",""
"df9b6723ee96","6","33","12","high","That's pretty shocking to be told that you have to get rid of your dog.","Yeah. The dog has been there before my wife. I know I've had him longer.","","","",""
"ec64fa8fb6ed","6","35","13","high","Hmm. So that's a huge stress right now?","Yeah. Yeah, it's- it's a big stress, it's like my best friend, so that's one of the important things. Also, I guess, cutting down these last cigarettes I've been working on.","","","",""
"b121c5bef940","6","37","14","high","Okay, so smoking and-and I'm working towards quitting completely sounds like that's a goal for you?","Um, finances is a problem right now too.","","","",""
"9cfca7bc4502","6","39","15","high","Okay, so money.","Time, I got to come to all these appointments and I'm taking time off work, which obviously is the money factor, right?","","","",""
"7c98c3bb82a0","6","43","16","high","Um, and some of these things are kind of related to each other I think we're already seeing.","Yeah, yeah. Yeah, there's something going on. And, um, also my drinking, I got to cut down my drinking too.","","","",""
"ff5bb325f3d6","6","45","17","high","Okay, wow. So there's a lot happening right now, Sal. Anything else that that's concerning you?","No. It's just overwhelming when you see them everything they're, you know?","","","",""
"59b444284368","6","47","18","high","Right. Well, so where would you-- I mean, if you-you had to pick somewhere, one or two kind of high priorities or-or things to talk about in our time this morning, where would you wanna start?","I think- I think the thoughts about the dog has been definitely bothering me, that's been one.","","","",""
"69e45a5a956a","6","49","19","high","Okay.","And, um, my-my asthma is out of control too. So maybe those two.","","","",""
"0c4ecd673a01","45","1","1","high","Hi, Mary, how was your day?","Fine. Where do you want me to sign?","","","",""
"905dadd82496","45","5","2","high","Okay. You know it seems like you had uh, a day at school. I noticed that uh, you missed your first hour of class today as well.","Yeah, whatever. I just, yeah.","","","",""
"2336f475b0ba","45","7","3","high","It seems like that doesn't-isn't really a concern for you at this time?","It's just like the same thing every day like, I don't really know why. Like um, so I signed your paper, why are asking me all these questions?","","","",""
"b136cf20ccee","45","13","4","high","You know that I will be stopping by every day just to make sure that you're here and following and-and responding to your GPS and making sure that that's charged up every day and that, um, if you're leaving the house without permission, that we will be aware of that as well. Um, and kinda just to get to know you as well when I come for these visits 'cause, um, you know that's kind of my role as your caseworker is just to-to monitor your day-to-day stuff.","So you just wanna know my business?","","","",""
"19cfb344df2e","45","21","5","high","Yet you still can seem kind of annoyed that this is something that we still have to do.","Yeah. I mean I guess I'll be here if I have to be but I can't make any promises that I won't leave.","","","",""
"a1177bbd7ba3","45","23","6","high","So you're still kinda concerned that you're not quite sure if you will be able to do this successfully?","No, 'cause this just kinda feels like why do you need to know my business? Why do you care?","","","",""
"5a3bc5bafa65","45","27","7","high","I'm sure it's pretty overwhelming.","It's just like a lot.","","","",""
"bf01650e3737","45","29","8","high","Mm-hmm.","And you feel like there's all these rules.","","","",""
"1d28753cc1e5","45","33","9","high","Um, and I know some clients have expressed just really valuing their freedom. They didn't realize how much they really valued that until it was gone.","Right, I think that's the only thing that I wish I had now.","","","",""
"01cb3a0b31aa","45","37","10","high","What would be some ways you could go about being able to get your freedom back?","I guess like your sign your papers.","","","",""
"75f9916e8d76","45","41","11","high","What are some other ways you feel like you can get your freedom back?","Not do this again so that I don't ever have to be here and be stuck in my house and all of these people coming to visit me and know my business.","","","",""
"96ff2163abe7","53","3","1","low","Okay. Why don't we start by just having you tell me a little bit about yourself?","Okay. Um, my name is Laura and I'm 17 and I'm a senior in high school.","","","",""
"b9f70eac4425","53","5","2","low","Okay. And what do you like to do for fun?","Um, mostly just hang out with my friends and stuff on the weekends, things like that.","","","",""
