"turn_id","transcript_id","utterance_id","turn_index","mi_quality","context_prev_assistant","patient_turn","engine_label","delivery_label","flag_ambiguous","notes"
"78224c32f97c","14","1","1","high","So, again, I hear your overall goal is really, to not give up these things you'd like but to cut back on how much you have-","Yeah, I guess so.","","","",""
"6fb4698152d9","14","5","2","high","So, I'm gonna ask the question this way, on a scale of 0 to 10, where 0 is not at all confident, and 10 is like, ""I'm very, very confident,"" where would you put yourself on a scale right now of confidence in starting this new plan?","Right now, I'm probably-","","","",""
"2b1be90c864a","14","7","3","high","Mm-hmm.","-gonna say a six.","","","",""
"82d052b96f87","14","9","4","high","A six.","But I know when I go home and I see the food, it's probably gonna drop back down to a four.","","","",""
"1ad5e474721f","14","15","5","high","So, why are you at a four and not even a lower number? Why are you not like a zero or a one?","Because I've been wanting to do this for-for years, like-","","","",""
"3cbc63e2d73b","14","17","6","high","Okay.","-ever since I started becoming conscious of my body.","","","",""
"711379b47989","14","19","7","high","Okay.","Like ever since I started being a teen, like this has always been a goal of mine, like, especially 'cause all my friends play soccer, and like-","","","",""
"0b87f82ffbaf","14","21","8","high","Uh-huh.","-hike, and are like super stick-thin but really healthy and active.","","","",""
"53f475a67bf9","14","23","9","high","Okay.","And so I'm just sort of like, well, I'm not.","","","",""
"74eb6dec7e64","14","25","10","high","Okay.","But I want to be like-- I don't want to be like stick-thin, but I really want to be like really healthy and really active.","","","",""
"1bf96100457a","14","27","11","high","Okay.","And like be able to look nice, you know.","","","",""
"1a285fe87625","14","29","12","high","Okay, all right.","I wanna be able to look nice.","","","",""
"654593b74385","14","31","13","high","Okay. So, what would help increase that confidence? What-- Because that sounds like where we really need to focus on. What's gonna help you feel more confident about this?","I don't even really know-","","","",""
"d9114e100f55","14","33","14","high","Mm-hmm.","-honestly. Like, I mean, I know I'm gonna have to keep like telling myself like-","","","",""
"73c4c6831bb9","14","35","15","high","Mm-hmm.","-like this is something that you want- that you've wanted-","","","",""
"fc7580155ce7","14","39","16","high","Uh-huh.","Like, you can do it. Because like-","","","",""
"f1ba472befb1","14","41","17","high","Okay.","I know I can do it. Like I can do anything.","","","",""
"edc081859438","14","43","18","high","All right.","I can do anything-","","","",""
"7d689dc01f03","14","45","19","high","All right.","-I know that. But it's hard getting to the point where I-","","","",""
"6d4673e18382","17","3","1","low","Do you use any tobacco products, or smoke cigarettes?","No, I would bum cigarettes in college, but I was never a smoker.","","","",""
"425affc196dc","17","5","2","low","Okay. How about in the last year?","No, not really anything.","","","",""
"ee31bfbe64ef","17","7","3","low","Okay. And how often do you have a drink containing alcohol?","Um, a few times a week. Uh, Wednesdays, I'll go to happy hour and have about two or three. And then, um, Thursdays, seven, um, seven or eight. Fridays, probably just a couple of glasses of wine with dinner. Um, but Saturdays are bigger night. And I would probably have a few drinks before I went to the bar. And then have four or five at when-when I was out. So—","","","",""
"e58933ab739c","17","9","4","low","Okay. So it sounds like you're drinking about four times a week, anywhere between three and eight drinks on a given day. So, maybe around 20 drinks a week?","I guess, it sounds like a lot when you say [chuckles] like that. But yeah.","","","",""
"2d17775a889b","17","11","5","low","Okay. Do you use any street drugs like any marijuana, cocaine, heroin?","No. I-I smoked weed in college, but just a little bit. I wasn't a regular smoker.","","","",""
"72a8b2e38f4a","17","17","6","low","So you're doing more than that right now. And when you drink more than this amount, it puts you at risk for a number of things, okay? Things like greater risk of injury, damage to different parts of your body, um, just a bunch of different problems. And, uh-- so I'm going to recommend that you cut down- cut down that amount to the recommended limit. Again, that's no more than seven drinks a week and no more than three on a given day. Do you think you could do that? Would that be a good goal for you?","That's a lot to change. I don't know.","","","",""
"fabe072fd3c4","17","19","7","low","Yeah, I know that making changes isn't always easy. But when you drink more than what's recommended, it creates problems. You know, you said you hurt your ankle when you came out of the bar this time.","I mean, the stairs were really steep. So—","","","",""
"523ddfa55efc","17","21","8","low","Yeah. Well, it's possible you strained your ankle as a result of the alcohol. You know, it can actually affect your balance and stability. So, really, you know, for where you are right now, you're drinking a good amount more than what's recommended. And, you know, I want you to be healthy. And I don't want to see you coming back in here for something else. So I'm really gonna recommend that you try to cut down to that amount. So, do you think you could do that, cut down to no more than three drinks on a given day?","Where are these limits from? Um, old- an older population? Because, uh, I drink just as much as my friends do. I mean, everybody drinks like I drink. I'm not even the biggest drinker in my group. So I'm pretty middle of the road.","","","",""
